ticker,name
1101.tw,台泥
1102.tw,亞泥
1103.tw,嘉泥
1104.tw,環泥
1108.tw,幸福
1109.tw,信大
1110.tw,東泥
1201.tw,味全
1203.tw,味王
1210.tw,大成
1213.tw,大飲
1215.tw,卜蜂
1216.tw,統一
1217.tw,愛之味
1218.tw,泰山
1219.tw,福壽
1220.tw,台榮
1225.tw,福懋油
1227.tw,佳格
1229.tw,聯華
1231.tw,聯華食
1232.tw,大統益
1233.tw,天仁
1234.tw,黑松
1235.tw,興泰
1236.tw,宏亞
1256.tw,鮮活果汁-KY
1301.tw,台塑
1303.tw,南亞
1304.tw,台聚
1305.tw,華夏
1307.tw,三芳
1308.tw,亞聚
1309.tw,台達化
1310.tw,台苯
1312.tw,國喬
1313.tw,聯成
1314.tw,中石化
1315.tw,達新
1316.tw,上曜
1319.tw,東陽
1321.tw,大洋
1323.tw,永裕
1324.tw,地球
1325.tw,恆大
1326.tw,台化
1337.tw,再生-KY
1338.tw,廣華-KY
1339.tw,昭輝
1340.tw,勝悅-KY
1341.tw,富林-KY
1342.tw,八貫
1402.tw,遠東新
1409.tw,新纖
1410.tw,南染
1413.tw,宏洲
1414.tw,東和
1416.tw,廣豐
1417.tw,嘉裕
1418.tw,東華
1419.tw,新紡
1423.tw,利華
1432.tw,大魯閣
1434.tw,福懋
1435.tw,中福
1436.tw,華友聯
1437.tw,勤益控
1438.tw,三地開發
1439.tw,雋揚
1440.tw,南紡
1441.tw,大東
1442.tw,名軒
1443.tw,立益物流
1444.tw,力麗
1445.tw,大宇
1446.tw,宏和
1447.tw,力鵬
1449.tw,佳和
1451.tw,年興
1452.tw,宏益
1453.tw,大將
1454.tw,台富
1455.tw,集盛
1456.tw,怡華
1457.tw,宜進
1459.tw,聯發
1460.tw,宏遠
1463.tw,強盛新
1464.tw,得力
1465.tw,偉全
1466.tw,聚隆
1467.tw,南緯
1468.tw,昶和
1470.tw,大統新創
1471.tw,首利
1472.tw,三洋實業
1473.tw,台南
1474.tw,弘裕
1475.tw,業旺
1476.tw,儒鴻
1477.tw,聚陽
1503.tw,士電
1504.tw,東元
1506.tw,正道
1512.tw,瑞利
1513.tw,中興電
1514.tw,亞力
1515.tw,力山
1516.tw,川飛
1517.tw,利奇
1519.tw,華城
1521.tw,大億
1522.tw,堤維西
1524.tw,耿鼎
1525.tw,江申
1526.tw,日馳
1527.tw,鑽全
1528.tw,恩德
1529.tw,樂事綠能
1530.tw,亞崴
1531.tw,高林股
1532.tw,勤美
1533.tw,車王電
1535.tw,中宇
1536.tw,和大
1537.tw,廣隆
1538.tw,正峰
1539.tw,巨庭
1540.tw,喬福
1541.tw,錩泰
1558.tw,伸興
1560.tw,中砂
1563.tw,巧新
1568.tw,倉佑
1582.tw,信錦
1583.tw,程泰
1587.tw,吉茂
1589.tw,永冠-KY
1590.tw,亞德客-KY
1597.tw,直得
1598.tw,岱宇
1603.tw,華電
1604.tw,聲寶
1605.tw,華新
1608.tw,華榮
1609.tw,大亞
1611.tw,中電
1612.tw,宏泰
1614.tw,三洋電
1615.tw,大山
1616.tw,億泰
1617.tw,榮星
1618.tw,合機
1626.tw,艾美特-KY
1702.tw,南僑
1707.tw,葡萄王
1708.tw,東鹼
1709.tw,和益
1710.tw,東聯
1711.tw,永光
1712.tw,興農
1713.tw,國化
1714.tw,和桐
1717.tw,長興
1718.tw,中纖
1720.tw,生達
1721.tw,三晃
1722.tw,台肥
1723.tw,中碳
1725.tw,元禎
1726.tw,永記
1727.tw,中華化
1730.tw,花仙子
1731.tw,美吾華
1732.tw,毛寶
1733.tw,五鼎
1734.tw,杏輝
1735.tw,日勝化
1736.tw,喬山
1737.tw,臺鹽
1752.tw,南光
1760.tw,寶齡富錦
1762.tw,中化生
1773.tw,勝一
1776.tw,展宇
1783.tw,和康生
1786.tw,科妍
1789.tw,神隆
1795.tw,美時
1802.tw,台玻
1805.tw,寶徠
1806.tw,冠軍
1808.tw,潤隆
1809.tw,中釉
1810.tw,和成
1817.tw,凱撒衛
1903.tw,士紙
1904.tw,正隆
1905.tw,華紙
1906.tw,寶隆
1907.tw,永豐餘
1909.tw,榮成
2002.tw,中鋼
